player_display_name,position,team,opponent_team,stat,pp_line,player_id,player_name,season,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,target_share,wopr,fantasy_points,opponent_team,pp_delta,team_long,spread,over_under
Geno Smith,QB,SEA,PIT,passing_yards,254.5,00-0030565,G.Smith,2021.0,6.0,23.0,32.0,209.0,1.0,0.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.26,PIT,-45.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,NO,passing_yards,254.5,00-0030565,G.Smith,2021.0,7.0,12.0,22.0,167.0,1.0,0.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.88,NO,-87.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,JAX,passing_yards,254.5,00-0030565,G.Smith,2021.0,8.0,20.0,24.0,195.0,2.0,0.0,3.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,,,22.6,JAX,-59.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,DEN,passing_yards,254.5,00-0030565,G.Smith,2022.0,1.0,23.0,28.0,195.0,2.0,0.0,2.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,17.2,DEN,-59.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,SF,passing_yards,254.5,00-0030565,G.Smith,2022.0,2.0,24.0,30.0,197.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.08,SF,-57.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,ATL,passing_yards,254.5,00-0030565,G.Smith,2022.0,3.0,32.0,44.0,325.0,2.0,1.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,18.9,ATL,70.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,DET,passing_yards,254.5,00-0030565,G.Smith,2022.0,4.0,23.0,30.0,320.0,2.0,0.0,0.0,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,,,31.7,DET,65.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,NO,passing_yards,254.5,00-0030565,G.Smith,2022.0,5.0,16.0,25.0,268.0,3.0,0.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,24.02,NO,13.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,ARI,passing_yards,254.5,00-0030565,G.Smith,2022.0,6.0,20.0,31.0,197.0,0.0,0.0,5.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,12.68,ARI,-57.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,LAC,passing_yards,254.5,00-0030565,G.Smith,2022.0,7.0,20.0,27.0,210.0,2.0,1.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.1,LAC,-44.5,Seahawks,3.5,47.5
